,Input Name,Input Website,Match,Stage,Score,Source
291,World Wide Fertilizers - Van de Reijt Meststoffen B.V.,vdreijtfert.nl/wp/world-wide-fertilizers-2/,No Match,-,0.0,Movements NL
292,Euro Used Clothing B.V.,eurousedclothing.nl,eurousedclothing.nl,4 - Offering (S),100.0,Movements NL
293,Doco International B.V.,doco-international.com,doco-international.com,3 - Presenting (S),100.0,Movements NL
294,Anema Trucks & Spare Parts,anema.nl/,No Match,-,0.0,Movements NL
295,Hyva International B.V.,lincolnelectric.nl,No Match,-,0.0,Movements NL
296,Stopaq B.V.,stopaq.com,No Match,-,0.0,Movements NL
297,Estillon B.V,estillon.nl,No Match,-,0.0,Movements NL
298,Bredox chemicals,bredox.nl,bredox.nl,2 - SQL / Sales Outreach,100.0,Movements NL
299,Banden inzamelingsbedrijf van der veen,nan,No Match,-,0.0,Movements NL
300,Bosco Pharma Nederland B.V.,boscopharma.nl,No Match,-,0.0,Movements NL
301,CF&S,nan,No Match,-,0.0,Movements NL
302,SABORN TRADING B.V,saborn-trading.nl/,saborn-trading.nl,2 - SQL / Sales Outreach,97.14285714285714,Movements NL
303,Fineline QPI BV,fineline-global.com,No Match,-,0.0,Movements NL
304,Cars 4 Kids B.V.,cars4kids.nl,No Match,-,0.0,Movements NL
305,Durea B.V.,durea.nl,durea.nl,8 - Loyal (CS),100.0,Movements NL
306,Becton Dickinson Rowa Netherlands,rowa.de/en/,No Match,-,0.0,Movements NL
307,Ice-World Benelux b.v.,nan,No Match,-,0.0,Movements NL
308,Vlastuin Metal B.V.,vlastuin.nl,vlastuin.nl,2 - SQL / Sales Outreach,100.0,Movements NL
